name,kategorie,preis,einheit,mindestmenge,schrittweite_meterware,bestand,beschreibung,material,breite,pflegehinweise,bild_dateiname
Baumwollstoff Blumenwiese blau,Stoffe > Baumwollstoffe,9.90,Meter,0.5,0.5,25,"Leichter Baumwollstoff mit zartem Blumenmuster auf blauem Grund, ideal für Kleider und Blusen.",100% Baumwolle,140 cm,waschbar bis 40°C,stoffe/baumwollstoff-blumenwiese-blau.webp
Jersey Uni anthrazit,Stoffe > Jersey & Sweat,12.50,Meter,0.5,0.5,18,"Dehnbarer Jersey in dezentem Anthrazit, perfekt für T-Shirts und Loungewear.",95% Baumwolle 5% Elasthan,155 cm,waschbar bis 30°C,stoffe/jersey-uni-anthrazit.webp
Walkstoff Tannengrün,Stoffe > Wolle & Walkstoffe,24.90,Meter,0.5,0.5,10,"Warmer Walkstoff aus reiner Schurwolle, ideal für Jacken und Mäntel.",100% Schurwolle,150 cm,nur Trockenreinigung,stoffe/walkstoff-tannengruen.webp
Dekostoff Streifen natur,Stoffe > Dekostoffe & Vorhangstoffe,14.90,Meter,1,0.5,15,"Robuster Dekostoff mit dezentem Streifenmuster in Naturtönen, für Kissen und Vorhänge.",55% Baumwolle 45% Polyester,280 cm,waschbar bis 30°C,stoffe/dekostoff-streifen-natur.webp
Sockenwolle Bunt Melange,Wolle & Garne > Sockenwolle,5.90,Stück,1,1,40,"4-fädige Sockenwolle mit Farbverlauf, ergibt ca. 2 Paar Socken pro Knäuel (100 g).",75% Schurwolle 25% Polyamid,-,handwäschebar,wolle/sockenwolle-bunt-melange.webp
Babywolle Weiß weich,Wolle & Garne > Babywolle,4.50,Stück,1,1,30,"Kuschelweiches Babygarn für Mützchen, Decken und Erstlingsjäckchen.",100% Merinowolle (mulesing-frei),-,waschbar bis 30°C Feinwäsche,wolle/babywolle-weiss-weich.webp
Perlmuttknöpfe 15mm 6er-Set,Kurzwaren > Knöpfe,3.20,Set,1,1,60,"Klassische Perlmuttknöpfe mit 4 Löchern, 6 Stück pro Set, ideal für Blusen und Hemden.",Perlmutt,15 mm Durchmesser,-,kurzwaren/perlmuttknoepfe-15mm-set.webp
Baumwollband Karo rot 3m,Kurzwaren > Bänder & Borten,2.90,Stück,1,1,45,"Dekoratives Baumwollband mit Karomuster, 3 Meter Rolle, ideal zum Verzieren und Verpacken.",100% Baumwolle,2.5 cm,waschbar bis 40°C,kurzwaren/baumwollband-karo-rot.webp
Reißverschluss teilbar 60cm schwarz,Reißverschlüsse > Fertig-Reißverschlüsse,4.20,Stück,1,1,35,"Robuster teilbarer Reißverschluss für Jacken, 60 cm Länge, schwarz.",Kunststoff-Spirale,60 cm Länge,-,zubehoer/reissverschluss-teilbar-60cm-schwarz.webp
Schneiderschere Profi 25cm,Nähzubehör > Scheren,18.90,Stück,1,1,12,"Scharfe Schneiderschere aus rostfreiem Stahl für präzise Stoffschnitte.",rostfreier Stahl,25 cm Länge,trocken lagern,zubehoer/schneiderschere-profi-25cm.webp
