Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status,Metafield: custom.step_meters [number_decimal]
baumwollstoff-blumenwiese-blau,Baumwollstoff Blumenwiese blau,"<p>Leichter Baumwollstoff mit zartem Blumenmuster auf blauem Grund, ideal für Kleider und Blusen.</p><p>Material: 100% Baumwolle</p><p>Breite/Maß: 140 cm</p><p>Pflege: waschbar bis 40°C</p>",Sybille's Nähparadies,Stoffe,,TRUE,Zuschnitt,"0,5 m",,shopify,25,deny,manual,4.95,TRUE,TRUE,,Baumwollstoff Blumenwiese blau – Sybille's Nähparadies Bad Kissingen,draft,0.5
jersey-uni-anthrazit,Jersey Uni anthrazit,"<p>Dehnbarer Jersey in dezentem Anthrazit, perfekt für T-Shirts und Loungewear.</p><p>Material: 95% Baumwolle 5% Elasthan</p><p>Breite/Maß: 155 cm</p><p>Pflege: waschbar bis 30°C</p>",Sybille's Nähparadies,Stoffe,,TRUE,Zuschnitt,"0,5 m",,shopify,18,deny,manual,6.25,TRUE,TRUE,,Jersey Uni anthrazit – Sybille's Nähparadies Bad Kissingen,draft,0.5
walkstoff-tannengruen,Walkstoff Tannengrün,"<p>Warmer Walkstoff aus reiner Schurwolle, ideal für Jacken und Mäntel.</p><p>Material: 100% Schurwolle</p><p>Breite/Maß: 150 cm</p><p>Pflege: nur Trockenreinigung</p>",Sybille's Nähparadies,Stoffe,,TRUE,Zuschnitt,"0,5 m",,shopify,10,deny,manual,12.45,TRUE,TRUE,,Walkstoff Tannengrün – Sybille's Nähparadies Bad Kissingen,draft,0.5
dekostoff-streifen-natur,Dekostoff Streifen natur,"<p>Robuster Dekostoff mit dezentem Streifenmuster in Naturtönen, für Kissen und Vorhänge.</p><p>Material: 55% Baumwolle 45% Polyester</p><p>Breite/Maß: 280 cm</p><p>Pflege: waschbar bis 30°C</p>",Sybille's Nähparadies,Stoffe,,TRUE,Zuschnitt,"0,5 m",,shopify,15,deny,manual,7.45,TRUE,TRUE,,Dekostoff Streifen natur – Sybille's Nähparadies Bad Kissingen,draft,0.5
sockenwolle-bunt-melange,Sockenwolle Bunt Melange,"<p>4-fädige Sockenwolle mit Farbverlauf, ergibt ca. 2 Paar Socken pro Knäuel (100 g).</p><p>Material: 75% Schurwolle 25% Polyamid</p><p>Breite/Maß: -</p><p>Pflege: handwäschebar</p>",Sybille's Nähparadies,Wolle & Garne,,TRUE,Ausführung,Standard,,shopify,40,deny,manual,5.90,TRUE,TRUE,,Sockenwolle Bunt Melange – Sybille's Nähparadies Bad Kissingen,draft,
babywolle-weiss-weich,Babywolle Weiß weich,"<p>Kuschelweiches Babygarn für Mützchen, Decken und Erstlingsjäckchen.</p><p>Material: 100% Merinowolle (mulesing-frei)</p><p>Breite/Maß: -</p><p>Pflege: waschbar bis 30°C Feinwäsche</p>",Sybille's Nähparadies,Wolle & Garne,,TRUE,Ausführung,Standard,,shopify,30,deny,manual,4.50,TRUE,TRUE,,Babywolle Weiß weich – Sybille's Nähparadies Bad Kissingen,draft,
perlmuttknoepfe-15mm-6er-set,Perlmuttknöpfe 15mm 6er-Set,"<p>Klassische Perlmuttknöpfe mit 4 Löchern, 6 Stück pro Set, ideal für Blusen und Hemden.</p><p>Material: Perlmutt</p><p>Breite/Maß: 15 mm Durchmesser</p><p>Pflege: -</p>",Sybille's Nähparadies,Kurzwaren,,TRUE,Ausführung,Standard,,shopify,60,deny,manual,3.20,TRUE,TRUE,,Perlmuttknöpfe 15mm 6er-Set – Sybille's Nähparadies Bad Kissingen,draft,
baumwollband-karo-rot-3m,Baumwollband Karo rot 3m,"<p>Dekoratives Baumwollband mit Karomuster, 3 Meter Rolle, ideal zum Verzieren und Verpacken.</p><p>Material: 100% Baumwolle</p><p>Breite/Maß: 2.5 cm</p><p>Pflege: waschbar bis 40°C</p>",Sybille's Nähparadies,Kurzwaren,,TRUE,Ausführung,Standard,,shopify,45,deny,manual,2.90,TRUE,TRUE,,Baumwollband Karo rot 3m – Sybille's Nähparadies Bad Kissingen,draft,
reissverschluss-teilbar-60cm-schwarz,Reißverschluss teilbar 60cm schwarz,"<p>Robuster teilbarer Reißverschluss für Jacken, 60 cm Länge, schwarz.</p><p>Material: Kunststoff-Spirale</p><p>Breite/Maß: 60 cm Länge</p><p>Pflege: -</p>",Sybille's Nähparadies,Reißverschlüsse,,TRUE,Ausführung,Standard,,shopify,35,deny,manual,4.20,TRUE,TRUE,,Reißverschluss teilbar 60cm schwarz – Sybille's Nähparadies Bad Kissingen,draft,
schneiderschere-profi-25cm,Schneiderschere Profi 25cm,<p>Scharfe Schneiderschere aus rostfreiem Stahl für präzise Stoffschnitte.</p><p>Material: rostfreier Stahl</p><p>Breite/Maß: 25 cm Länge</p><p>Pflege: trocken lagern</p>,Sybille's Nähparadies,Nähzubehör,,TRUE,Ausführung,Standard,,shopify,12,deny,manual,18.90,TRUE,TRUE,,Schneiderschere Profi 25cm – Sybille's Nähparadies Bad Kissingen,draft,
